Program+Worker	Count	CPU	Mem(KB)	IO
programA+cpu	2	50.66	1792	14.59
programA+cpu	3	35.98	1920	10.59
programA+cpu	4	25.68	2048	9.59
programA+cpu	5	22.44	2176	9.59
programA+mem	2	52.06	10496	9.59
programA+mem	3	34.53	14976	9.59
programA+mem	4	26.76	19456	9.59
programA+mem	5	23.08	23936	9.58
programA+io  	2	6.7 	3328	12.57
programA+io	    3	6.7 	4224	12.57
programA+io	    4	6.7 	5120	12.57
programA+io	    5	6.7 	6016	12.58
programB+cpu	2	98.86	1664	9.58
programB+cpu	3	100.1	1664	9.58
programB+cpu	4	100.1	1664	9.58
programB+cpu	5	100.1	1664	9.58
programB+cpu	6	100	    1664	9.58
programB+cpu	7	100.1	1664	9.58
programB+cpu	8	96.28	1664	9.58
programB+mem	2	100.67	9856	9.58
programB+mem	3	98.19	13952	9.57
programB+mem	4	101.08	18048	9.57
programB+mem	5	99.65	22144	9.48
programB+mem	6	99.3	26240	12.55
programB+mem	7	99.62	30336	12.53
programB+mem	8	100.08	34432	11.51
programB+io	    2	13.3    1920	13.49
programB+io  	3	10	    1920	12.5
programB+io	    4	10	    1920	12.5
programB+io 	5	9.75	1920	12.5
programB+io 	6	16.65	1920	13.5
programB+io	    7	22.5	1920	12.5
programB+io	    8	18.8	1920	12.4
